epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,149.953,1.7414,3.24864,2.24645,1.86988,0.24224,0.37087,0.2358,0.10405,0.0003,0.00249,8e-05,2e-05,2.04717,2.81143,2.3494,2.37773,0.00126679,0.00126679,0.00126679
99,151.461,1.70782,3.20012,2.21412,1.83705,0.26026,0.36184,0.24723,0.10186,0.00067,0.00249,6e-05,2e-05,2.01872,2.81105,2.29348,2.35156,0.00126267,0.00126267,0.00126267
100,153.038,1.62269,3.24489,2.16897,1.77272,0.35402,0.32308,0.23626,0.09108,0.00117,0.00249,0.00011,2e-05,2.14241,2.88043,2.32839,2.45087,0.00125854,0.00125854,0.00125854
101,154.55,1.74921,3.27944,2.20097,1.8392,0.47046,0.26081,0.22628,0.0884,0.00014,0.00746,7e-05,2e-05,2.30443,2.91046,2.44596,2.54225,0.00125442,0.00125442,0.00125442
102,156.055,1.67955,3.15528,2.13089,1.7985,0.28553,0.25124,0.22111,0.08992,0.00101,0.00249,8e-05,3e-05,2.3045,2.90233,2.3871,2.55276,0.00125029,0.00125029,0.00125029
103,157.555,1.72177,3.21329,2.163,1.83641,0.27958,0.31611,0.26086,0.10972,0.00061,0.00746,0.00018,4e-05,2.19968,2.89729,2.3669,2.43384,0.00124617,0.00124617,0.00124617
104,159.07,1.73681,3.27234,2.26637,1.85929,0.30813,0.26617,0.2377,0.10403,0.00172,0.00746,0.00016,3e-05,2.21564,2.91709,2.30451,2.50124,0.00124204,0.00124204,0.00124204
105,160.596,1.70274,3.25317,2.13228,1.8152,0.38796,0.37352,0.29536,0.117,0.009,0.00498,0.00046,6e-05,2.16207,2.94731,2.2035,2.49814,0.00123791,0.00123791,0.00123791
106,162.113,1.64782,3.25871,2.07526,1.77905,0.32953,0.38073,0.29655,0.11766,0.04939,0.00249,0.00066,0.00012,2.11017,2.91731,2.35051,2.44405,0.00123379,0.00123379,0.00123379
107,163.64,1.6858,3.20694,2.17955,1.81888,0.32523,0.37046,0.27496,0.10395,0.0331,0.00249,0.00043,6e-05,2.12859,2.95448,2.43409,2.45654,0.00122966,0.00122966,0.00122966
108,165.158,1.66692,3.14249,2.08494,1.77597,0.44056,0.13069,0.15767,0.0621,0.00059,0.00746,0.0003,6e-05,2.26431,3.24814,2.95445,2.53769,0.00122554,0.00122554,0.00122554
109,166.648,1.63987,3.32405,2.1688,1.73458,0.33448,0.34692,0.28319,0.11461,0.00919,0.00249,0.00023,5e-05,2.05849,2.86313,2.32156,2.33389,0.00122141,0.00122141,0.00122141
110,168.204,1.69023,3.11942,2.07943,1.77894,0.30199,0.29143,0.25026,0.11115,0.00542,0.00249,0.00029,6e-05,2.12567,2.89004,2.42246,2.38925,0.00121729,0.00121729,0.00121729
111,169.691,1.63478,3.21641,2.04506,1.76095,0.2871,0.31599,0.2606,0.11436,0.00539,0.00498,0.00034,7e-05,2.12389,2.87029,2.2932,2.40994,0.00121316,0.00121316,0.00121316
112,171.183,1.60225,3.17561,2.01925,1.72171,0.3592,0.36548,0.31281,0.12858,0.00216,0.00249,0.00019,5e-05,2.11006,2.84055,2.18228,2.39228,0.00120903,0.00120903,0.00120903
113,172.674,1.64257,3.22654,2.03339,1.77321,0.38268,0.34558,0.27663,0.12404,0.00027,0.00498,0.00014,3e-05,2.11669,2.87296,2.30521,2.41646,0.00120491,0.00120491,0.00120491
114,174.163,1.6015,3.24519,2.05239,1.72782,0.28999,0.35591,0.25946,0.10934,0.00036,0.00746,0.00018,4e-05,2.18544,2.88856,2.38897,2.57123,0.00120078,0.00120078,0.00120078
115,175.656,1.64334,3.24261,2.08242,1.75972,0.36793,0.30616,0.26074,0.10384,0.00022,0.00498,0.00011,3e-05,2.15438,2.86863,2.41029,2.5093,0.00119666,0.00119666,0.00119666
116,177.146,1.60497,3.13354,2.05713,1.72026,0.34744,0.26521,0.2683,0.11302,0.00556,0.00249,0.00025,7e-05,2.10836,2.87597,2.42096,2.41135,0.00119253,0.00119253,0.00119253
117,178.624,1.6571,3.22598,2.06663,1.7582,0.39356,0.27937,0.25452,0.10883,0.00426,0.00249,0.00024,5e-05,2.15317,2.8832,2.40914,2.43806,0.0011884,0.0011884,0.0011884
118,180.116,1.6314,3.09624,2.05022,1.75347,0.36532,0.25048,0.25755,0.1075,0.00414,0.00498,0.0003,6e-05,2.16136,2.85501,2.39591,2.41931,0.00118428,0.00118428,0.00118428
